x,p,T
1.03,0.714286,1
1.075,0.714286,1
1.125,0.714286,1
1.175,0.714286,1
1.225,0.714286,1
1.275,0.714286,1
1.325,0.714286,1
1.375,0.714286,1
1.425,0.714286,1
1.475,0.714286,1
1.525,0.714286,1
1.575,0.714286,1
1.625,0.714286,1
1.675,0.714286,1
1.725,0.714286,1
1.775,0.714286,1
1.825,0.714286,1
1.875,0.714286,1
1.925,0.714286,1
1.975,0.714286,1
2.025,0.714286,1
2.075,0.714286,1
2.125,0.714286,1
2.175,0.714286,1
2.225,0.714286,1
2.275,0.714286,1
2.325,0.714286,1
2.375,0.714286,1
2.425,0.714286,1
2.475,0.714286,1
2.525,0.714286,1
2.575,0.714286,1
2.625,0.714286,1
2.675,0.714286,1
2.725,0.714286,1
2.775,0.714286,1
2.825,0.714286,1
2.875,0.714286,1
2.925,0.714286,1
2.975,0.714286,1
3.025,0.714286,1
3.075,0.714286,1
3.125,0.714286,1
3.175,0.714286,1
3.225,0.714286,1
3.275,0.714286,1
3.325,0.714286,1
3.375,0.714286,1
3.425,0.714286,1
3.475,0.714286,1
3.525,0.714286,1
3.575,0.714286,1
3.625,0.714286,1
3.675,0.714286,1
3.725,0.714286,1
3.775,0.714286,1
3.825,0.714286,1
3.875,0.714286,1
3.925,0.714286,1
3.975,0.714286,1
4.025,0.714286,1
4.075,0.714286,1
4.125,0.714286,1
4.175,0.714286,1
4.225,0.714286,1
4.275,0.714286,1
4.325,0.714286,1
4.375,0.714286,1
4.425,0.714286,1
4.475,0.714286,1
4.525,0.714286,1
4.575,0.714286,1
4.625,0.714286,1
4.675,0.714286,1
4.725,0.714286,1
4.775,0.714286,1
4.825,0.714286,1
4.875,0.714286,1
4.925,0.714286,1
4.975,0.714286,1
5.025,0.714286,1
5.075,0.714286,1
5.125,0.714286,1
5.175,0.714286,1
5.225,0.714286,1
5.275,0.714286,1
5.325,0.714286,1
5.375,0.714286,1
5.425,0.714286,1
5.475,0.714286,1
5.525,0.714286,1
5.575,0.714286,1
5.625,0.714286,1
5.675,0.714286,1
5.725,0.714286,1
5.775,0.714286,1
5.825,0.714286,1
5.875,0.714286,1
5.925,0.714286,1
5.975,0.714286,1
6.025,0.714286,1
6.075,0.714286,1
6.125,0.714286,1
6.175,0.714286,1
6.225,0.714286,1
6.275,0.714286,1
6.325,0.714286,1
6.375,0.714286,1
6.425,0.714286,1
6.475,0.714286,1
6.525,0.714286,1
6.575,0.714286,1
6.625,0.714286,1
6.675,0.714286,1
6.725,0.714286,1
6.775,0.714286,1
6.825,0.714286,1
6.875,0.714286,1
6.925,0.714286,1
6.975,0.714286,1
7.025,0.714286,1
7.075,0.714286,1
7.125,0.714286,1
7.175,0.714286,1
7.225,0.714286,1
7.275,0.714286,1
7.325,0.714286,1
